wallet,pca1,pca2,umap1,umap2,km_cluster,db_cluster,hdb_cluster,archetype
0x007839130377fcb1ce44bb72451286a77875bace,1.0545461611763065,0.4038680640865172,13.373343,-4.0405073,3,3,7,Token receiver / airdrop
0x007849db50341e18acee281c9a970a183c6c7e62,1.1342286224652078,-0.6641610909541008,4.8920217,7.858674,3,7,5,Token receiver / airdrop
0x007881ba44e94a039895866aeedf82ed829a59a3,-2.700344150644871,-0.5430780923202413,-12.653025,8.448525,0,0,2,Casual ETH user
0x0079a23edea601190edf1cda05c8af3fea2f2d9f,-2.647500917374625,-0.8496260812136874,-14.849087,-5.5914598,0,0,2,Casual ETH user
0x007b8eb47956bc6e92f35647132280382d897c46,-2.628149343121876,-0.9236616579675984,-16.272034,-4.256673,0,0,2,Casual ETH user
0x007d89690f5626b5b0f41a6a7a07e579ee363181,-2.8020970168825334,-0.006675683667330761,10.332496,-8.330376,0,0,2,Casual ETH user
0x007f9d679769aa139b969eb524bb2d902e2c0fee,1.6920735824469857,-1.1203713997704952,12.87413,7.009912,2,6,6,Likely bot / MEV
0x0080d66ef962f15b8566fb3b399982c4abaeb25b,1.6488139894405476,-0.6349769170666344,11.804544,7.732428,3,6,6,Token receiver / airdrop
0x00836fe54625be242bcfa286207795405ca4fd10,-3.355276854402984,2.5580413898420926,1.8679547,6.3100686,0,4,3,Casual ETH user
0x0084dfd7202e5f5c0c8be83503a492837ca3e95e,0.7663343641892315,3.117339439760843,9.290052,-2.880067,1,-1,-1,Active DeFi user
0x008561da3c1dca446dbf84db1dc778cf801fc8a4,0.4875385058289257,-0.3148914098016273,6.5495505,11.5978155,3,3,8,Token receiver / airdrop
0x008d9d457ad0a75c83d9a5e2b8e4ce89232b5083,-2.751619350394729,-0.23276558309660075,-9.336711,-3.8893921,0,4,3,Casual ETH user
0x008dc74cecc9deda8595b2fe210ce5979f0bfa8e,-2.300878972607168,-2.7339285685954335,28.865995,-6.687973,0,1,0,Casual ETH user
0x008e4ab9be64f2051efbd3cf1269b903bf215953,0.2863061513967132,-0.23477354351245347,17.93059,4.9272456,3,3,8,Token receiver / airdrop
0x008e92662105264498775c8282334b6599db57fe,1.2401882420801886,0.31130726879967885,8.537234,-1.231892,3,3,8,Token receiver / airdrop
0x00907f9921424583e7ffbfedf84f92b7b2be4977,-2.7945207342961718,-0.03476086165089646,20.065893,-13.07455,0,4,3,Casual ETH user
